text,label,label_text
@user I'm so serious DM me I'll tell u more,2,optimism
@user beware the fury of a weak king,2,optimism
I think I must scare my coworkers when I'm eating like a rabid animal on my breaks #srry,3,sadness
My 2 teens sons just left in the car to get haircuts. I'm praying up a storm that they make it home safely!!  #TerenceCrutcher,2,optimism
something about opening mail is just...very pleasing,1,joy
@user @user good thing the FBI didn't offend them!,2,optimism
@user @user welcome ji . sorry for words that irritate u,0,anger
Who's not going to hoco and wants to go to fright fest this Saturday??,1,joy
Unruly kids at 8am in the morning #nothanks ripping the flower beds up by the roots while their parents watch #shocking,0,anger
"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",3,sadness
"It's simple I get after two shots of espresso 'Grande, decaf, 130 degrees soy americano with extra foam' #barista #nightmare",0,anger
Watch this amazing live.ly broadcast by @user  #musically,1,joy
@user :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! #revenge,0,anger
And thus begins my 2 week holiday! 😏😏\n#holiday #cheering #ghastinoir #rest,1,joy
@user Canada should be a driving force of democracy freedom rights - instead we help #dictator #misogyny #Sharia #Islam  #polygamy,0,anger
Free live music in DC tonight!  #blues with #MoonshineSociety at @user in the Loft starting at 10:30pm @user @user,1,joy
And she got all angry telling me 'but what would be doing a 40 year old guy looking for a girl like you' and I felt,0,anger
"@user  as a musician, I can tell you that more people get discouraged when learning because of shitty instruments than anything else.",0,anger
im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary,1,joy
That last minute was like watching a horror show #GBBO 😥,3,sadness
The Pats are awesome. Belichick is awesome ...they just are. #awestruck,1,joy
@user my first time in Slough so checked out the new station floor  #LifeOnTheRoad,1,joy
@user That's why compatibility is key as it lowers hedonic volatility.,2,optimism
"@user I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate",0,anger
Anyway I'm in a car with a furious white men and I have a really funny story to tell when I'm sober 😂,1,joy
"@user but sadly he missed some crucial and important points. Indian terrorism in pk,  kal Boshan,  etc..  Raw involvement",3,sadness
@user Are you always so relentlessly positive? Your constantly cheerful optimistic disposition starts to grate after a while.,2,optimism
"@user He has had a dreadful first half, not to mention rashford would've got on the end of a couple of those through balls #pace",3,sadness
@user Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! #fuming,0,anger
"Leeds surely to drop the prices for that cup tie, rather than the dismal attendance last night..",2,optimism
"@user @user @user Trudeau endulging on outrage culture once again. Preaching issues ad hominem,but never quanitfying them",0,anger
gifs on iOS10 messaging app are hilarious.,1,joy
Quinn's short hair makes me sad. #glee,3,sadness
so probably hunger and depression and dissociating equals a weird time anything else,3,sadness
"I'll happily be rude to people who personally insult me unprovoked, they deserve it 👍 Just as good people deserve respect",0,anger
"B day next week, catch the sauce and watch the heaviness!",1,joy
@user otherwise you're committing a crime against your soul only sober ppl know what is good or bad for themselves,2,optimism
Circle K is dead to me. I hate your new slushie machine.  #livid,0,anger
My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... #terrible,3,sadness
@user Both Trump + King are relentless self-promoters who don't give a rip about anyone else. A perfect match for both Donalds.,0,anger
You head north and arrive at a breezy cave. It smells sweet. You glance at your watch; you're running 15 minutes late.,1,joy
I love when people say they aren't racist right before they say some racist shit... Not how that works...,0,anger
"A cheerful heart is good medicine, but a crushed spirit dries up the bones. A wicked man accepts a bribe in secret to pervert  justice.",2,optimism
"Don't be #afraid of the space between your #dreams and #reality. If you can #dream it, you can #make it so",2,optimism
"#Trump is #afraid of the big, bad #Hillary. #election #PresidentialDebate #PresidentialElection2016 #orangehitler #skip #hide #coward #fear",0,anger
"@user Betelgeuse/Sloth was lively, dedicated and tenacious, Regulus/Greed is humbly content and Ley/Gluttony is starving hungry.",3,sadness
This weather making me dread work tonight,3,sadness
"@user both are nonsensical. If there's injustice against blacks, why add to it by destroying black property. It's misdirected anger",0,anger
I can't pull myself out of depression,3,sadness
You have to find a way to top yourself.,2,optimism
This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. #frightened,3,sadness
"Look at us, smiling in the photograph♪ You can see the secrets behind the fake smiles♪ (*・ω・*) (©FACT「a fact of life」)",1,joy
Don't chase fame\nif you're going\nto resent it\nwhen it starts\nchasing you'\nWRDSMTH,2,optimism
@user sparkling water wyd,1,joy
"“He who is slow to anger is better than the mighty, And he who rules his spirit than he who takes a city.”\nP16:32 #bibleverse #pride",2,optimism
don't provoke me after letting me down !,0,anger
First College Math Test tomorrow,1,joy
Bring on my interview at hospital tho 🙈🙈,2,optimism
18' \nMichael Carrick as struck the back of the net much to the delight of under pressure man u fanz and MOU...,3,sadness
I want to pour all my tears on someone right now. So tired of this #upset #sad,3,sadness
@user against Chelsea anything is possible haha. I'm fuming about that bet 🙄🙄🙄🙄🙄🙄,0,anger
Q&amp;A with N. Christie @user fr. @user What would Peter and Dardanella think of us knowing? #poorthings #shy,3,sadness
Watching Avatar and wondering why I took so long to watch this *collapses in a joyous heap*,1,joy
"Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you.#faith #leadership #worry #mindfulness #success",2,optimism
"I believe the work I do is meaningful; my clients would agree but at the end of the day, I feel like a pawn, lost in this chaotic world.",3,sadness
Benefit out exhilaration called online backing off: JkUVmvQXY,1,joy
If I had a little bit of extra money I would blow the whole paycheck and go to one of the two of @user concerts in LA. #serious,2,optimism
resentment is rlly my shit.,0,anger
"@user [He grumbled as he sat atop the sushi bar stool, crossing his arms defiantly, in a playful gesture, though he gave anyone who &gt;",0,anger
"@user -Sylvia was elated to receive kisses from the little prince, her bright smile clear as she glanced to Garrett and Elyse- --",1,joy
Always borrow money from a pessimist; he doesn't expect to be paid back.,2,optimism
Omg he kissed her🙈 #shy #w,1,joy
@user @user had more fun than the funniest person in funsville..... Much hilarity as usual.... Thank you ❤️,1,joy
"Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone #nervous",3,sadness
"I want my highlight to be so bright that if I ever get lost and someone is looking for me in the dark, they'll find me.",2,optimism
Sickness bug! #awful,0,anger
kenny - where were you born\nme - washington\nkenny - you fucking liar you were born in the fiery pits of hell,0,anger
@user it's old sadly,3,sadness
Loving @user @user talk #challenge #fear #map #inspiration #stayunstoppable,2,optimism
"@user Wait, didn't she get a case of the ass when Donald Trump called it terrorism BEFORE all the facts were in?  I guess it's ok if she does",0,anger
Ill say it again. If I was a Black man Id be afraid to leave my house or have a moving violation.\n\n #TerranceCrutcher #truth,3,sadness
Free live music in DC tonight!  #blues with #MoonshineSociety at @user in the Loft starting at 10:30pm @user @user,1,joy
My 2 teens sons just left in the car to get haircuts. I'm praying up a storm that they make it home safely!!  #TerenceCrutcher,2,optimism
Women don't like girls because we resent them for looking so great/we wish we still looked like that  #washed,0,anger
@user beware the fury of a weak king,2,optimism
resentment is rlly my shit.,0,anger
I had really strange and awful dreams last night. I'd didn't even eat cheese before bed #nightmare #lovemysleep,3,sadness
im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary,1,joy
"It's simple I get after two shots of espresso 'Grande, decaf, 130 degrees soy americano with extra foam' #barista #nightmare",0,anger
@user I'm so serious DM me I'll tell u more,2,optimism
@user :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! #revenge,0,anger
I think I must scare my coworkers when I'm eating like a rabid animal on my breaks #srry,3,sadness
@user thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6,3,sadness
I'm really hitting all flavors of my sparkling water rap. But you know what's tripping me out? These half French and Spanish flavors.,1,joy
Go away please ... I'm begging »»» #depression #anxiety #worry #fear #sadness \nDreams of joy and my baby to be found...Sits on #AndisBench,3,sadness
Who's not going to hoco and wants to go to fright fest this Saturday??,1,joy
Ask yourself every day: \nam I ruled by fear and hatred \nor am I ruled by love and the sacred?,2,optimism
@user I want to achieve to your level of optimism,2,optimism
"Michelle, who did NOTHING is hating on Nicole's game hahaha.... #bitter #bb18",1,joy
Circle K is dead to me. I hate your new slushie machine.  #livid,0,anger
This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. #frightened,3,sadness
"@user Betelgeuse/Sloth was lively, dedicated and tenacious, Regulus/Greed is humbly content and Ley/Gluttony is starving hungry.",3,sadness
I love when people say they aren't racist right before they say some racist shit... Not how that works...,0,anger
gifs on iOS10 messaging app are hilarious.,1,joy
"Look at us, smiling in the photograph♪ You can see the secrets behind the fake smiles♪ (*・ω・*) (©FACT「a fact of life」)",1,joy
"Don't be #afraid of the space between your #dreams and #reality. If you can #dream it, you can #make it so",2,optimism
"@user both are nonsensical. If there's injustice against blacks, why add to it by destroying black property. It's misdirected anger",0,anger
My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... #terrible,3,sadness
Quinn's short hair makes me sad. #glee,3,sadness
You have to find a way to top yourself.,2,optimism
"#Trump is #afraid of the big, bad #Hillary. #election #PresidentialDebate #PresidentialElection2016 #orangehitler #skip #hide #coward #fear",0,anger
First College Math Test tomorrow,1,joy
so probably hunger and depression and dissociating equals a weird time anything else,3,sadness
"@user I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate",0,anger
Don't chase fame\nif you're going\nto resent it\nwhen it starts\nchasing you'\nWRDSMTH,2,optimism
Anyway I'm in a car with a furious white men and I have a really funny story to tell when I'm sober 😂,1,joy
"“He who is slow to anger is better than the mighty, And he who rules his spirit than he who takes a city.”\nP16:32 #bibleverse #pride",2,optimism
@user otherwise you're committing a crime against your soul only sober ppl know what is good or bad for themselves,2,optimism
You head north and arrive at a breezy cave. It smells sweet. You glance at your watch; you're running 15 minutes late.,1,joy
"Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you.#faith #leadership #worry #mindfulness #success",2,optimism
@user it's old sadly,3,sadness
"@user -Sylvia was elated to receive kisses from the little prince, her bright smile clear as she glanced to Garrett and Elyse- --",1,joy
kenny - where were you born\nme - washington\nkenny - you fucking liar you were born in the fiery pits of hell,0,anger
"There are parts of you that wants the sadness. Find them out, ask them why",3,sadness
"@user @user It ruins my frigging night each night at 9pm. Mrs loves it, i've been early to bed for a month.",0,anger
"i must say, the amount of low-level fighters and gatekeepers running their mouths is ridiculous. #jealousy  #ufc #jonjones",0,anger
I need to get out of this little funk so I can write!! #writing #funk #writerslife #depressed,3,sadness
Does anybody mom annoy them just by talking and she probably not even trying to annoy you 😂,0,anger
@user I'll be cheering you on from the bench,1,joy
Hating this already 😟,0,anger
Duty calls. 😧,0,anger
"Just a side #thought, everything takes #time and #effort ... #annoyed",0,anger
Few things more frustrating that organisations who don't have media contact numbers and request you 'fill out our online form' #rage,0,anger
@user my BF and I just rewatched the episode of #GravityFalls you were and he's fanboying  #YeahScience,1,joy
Who's Your Cat Daddy!?\n\n#cats #love #instagood #photooftheday #beautiful #cute #happy #fashion #follo ...,1,joy
"@user A review of my book faulted me for spending so much time on Webster's introductory front matter. But I had to, #brilliant!",1,joy
"@user Its been 6months i am behind this issue, i will nit allow you guys to bully me around like this",0,anger
"@user #bitter we all have bad experiences, this was 22 years ago...time to let it lie... @user forever ❤😍❤",2,optimism
@user It's kay. They were my main healer/caster in HW...but not for SB (for now) sadly.,3,sadness
Antonio Conte and Chelsea must be fuming. First Lukaku to UTD and now James Rodriguez to Bayern.,0,anger
"Longing to see Your face, Christ Jesus, I rejoice in the anticipation of Your coming again!",1,joy
"One hour great, next hour, bullshit! Welcome to Goodyear! #😠",0,anger
@user Ur so flippin funny!!! I love it!!! #burning!!!,1,joy
"We can complain because rose bushes have thorns, or rejoice because thorn bushes have roses. Abraham Lincoln #optimism #FLOW #nonresistance",2,optimism
I'm actually very irritated 😡,0,anger
My innocent eyes 😭,3,sadness
@user @user @user I confess I didn't watch last week. #bad Are you going to do an episode on accessibility?,3,sadness
@user #Love lights #up old tasks will soon going and!!! #serious,2,optimism
"Gorkas is angrily unhinged, &amp;lecturing CNN on what?they should cover demanding they go after Hillary Clinton instead of Trump.",0,anger
@user @user @user The official pi jam kit has arrived! #RaspberryPi #excitement,1,joy
@user @user I'm in tears. This is so heartbreaking 😭,3,sadness
UPDATE: One person dead &amp; another in serious condition after home invasion in Flint. Incident happened in college cultural center area.,3,sadness
Getting out of the car park could take longer  than the Jimmy Carr show ran #nightmare,0,anger
Apologies don't have to be sincere. They make great place holders while you quietly harbor rage and plot adequate revenge.#TuesdayMotivation,0,anger
Ang cute ni grim reaper omg,1,joy
"@user I’m glad to hear that, Kara. Don’t hesitate to get in touch again if you need to! Cheryl",1,joy
You choose your mood on weather you're going to be a #blessing or be rude..,2,optimism
@user Dont forget to eat you dinner nunna 😄,1,joy
OMG we're eating drinking in a restaurant and  so is a baby!!! Quell horror #YummyMummiesAU,0,anger
Would be ever so grateful if you could record Garden of Forgiveness gentleman @user @user #amazing,1,joy
Hello.. I need Some Grumpy Cat Leggings A.s.a.p. Mmmkay😂😍 #adorable #cute #infj,1,joy
@user @user @user probably not and i resent my tax money being spent in this way.,0,anger
I should wear black &amp; mourn a lil'.,3,sadness
I love swimming for the same reason I love meditating...the feeling of weightlessness.,1,joy
facts about all the horrific ways i could kill them if i were in fact those animals.,0,anger
Somebody called y'all president a fucknugget 😂😂 idk what that is but it was the laugh I needed this morning 😭,1,joy
"The gravediggers looked #solemn. The groundhog blinked back tears. The crows fell silent.\nHey, what about ME!  crowed the rooster.\n#vss365",3,sadness
Family stuck with crappy options thanks to @user .  Worst airline.  #furious,0,anger
"@user i go back at the end of each year and look at the swag they marketed, to include last years training camp guide #depressing",3,sadness
"@user Russia , Russia Russia, Know any other word??? It gets old folks. We need to work together. Dems having tantrums!!!",0,anger
@user @user @user @user I didn't say it because you left the party and game in a huff,3,sadness
"So excited for the final 10 eps of @user So happy @user is back and @user returns, as well as @user 😄❤",1,joy
@user #croydonparkhotel will be receiving a big complaint from me tomorrow #worseservice #rudestaff #furious,0,anger
@user I have at 7am so I have to get up around 5am to get ready! N also 7am classes are never pleasant 😭,3,sadness
sardonyx expresses herself through supporting the team with your incredible yo-yo skills and depression okay,3,sadness
"'I have a problem with authority.'\n\n'Oh, you mean you hate being told what to do?'\n\n'No. Authority figures just terrify me.'\n\n#SocialAnxiety",0,anger
feeling like a grim reaper all day hehehe\n9 days pa 🎩✉️,3,sadness
Still at school 🙁,3,sadness
"“Let us not become weary in doing good, for at the proper time we will reap a harvest if we do not give up.”\nGalatians 6:9 NIV",2,optimism
@user sad day Danny 😓you have been and still are a true Leeds rhino you have been brilliant at the club I will miss you,3,sadness
"'You dare threaten me, Thor, with so puny a weapon?'",0,anger
I'll control my #anger... if you can manage your #stupidity. #TeamFollowBack #相互フォロー #fact #figuremeout,0,anger
"#YummyMummiesAU Are you serious! Breastfeeding should be illegal?! You breathing our air should be illegal, dumbass! #stupid",0,anger
@user bought a ticket from Harlow T to Heathrow from ticket machine and it was not accepted by Heathrow express #fuming,0,anger
@user @user With all the other stuff going on in houston #crime you spend your time bullying the homeless #wonderful,0,anger
"When you should be working, but you're shopping amazon prime deals instead... 😦",0,anger
@user @user You mean the President Protector? The rabid revolution sleeper agent gone rogue?,0,anger
🔝 #love #instagood #photooftheday @user #photoeveryday #cute #picture #beautiful #followme #happy #follow #fashion #pic #picoftheday,1,joy
When lil bro refills your water bottle cause it's a desert when I sleep... #cheering #lazysis,1,joy
I need a beer #irritated,0,anger
Pretty upset with people bashing @user @user cast of 'the Know' catering to kids instead of gamers? lost respect..,3,sadness
@user Horrible CNN interview.  U can't talk urself out if a paper bag. U don't even buy the crap that was coming out of ur mouth. 👎,0,anger
♪ Racing all around the seven seas\nChasing all the girls and making robberies\n'Causing panic everywhere they go\nParty-hardy on Titanic... ♪,1,joy
@user Nana's death in the Royle Family 😢,3,sadness
The stupidest and weirdest thing people do. And what's more stupid than that? They upload it online. Oh my god. But good for laughter ah. 🤣🤣,1,joy
Thing is ... It's hard to be sober,3,sadness
@user @user No ones trying to fuck with you tiff.,0,anger
"@user Why don't you try nominating qualified people; B.DeVos, T.Pruitt, R.Perry,etc...really? They are terrible!",0,anger
When you get paid and you instantly start buying crap online that you don't need..,3,sadness
@user Happy Anniversary!! Have a great day!!,1,joy
@user Sometimes our judiciary just leaves you breathless and speechless.,0,anger
"@user @user No empathetic and realistic, I know when enough is enough unlike the rabid GOSH bashing mob.",0,anger
@user I haven't read the Constitution and I don't know you're Canadian. #sad,3,sadness
@user it's awful!,0,anger
I keep getting so worried about the amount of plastic that gets thrown away atm as if I didn't panic enough about the environment already :),3,sadness
Johnny doesn't seem like the suicidal type #suspicion #tcmparty,3,sadness
You won't reach a #goal you hide in a drawer. Keep it in front of your face at all times.  #WednesdayWisdom,2,optimism
@user happy birthday machaaaa 🎈🎉🎊 stay awesome and murah rezeki selalu 👍🏻,1,joy
"Casper, Wyoming is just about  to witness totality 🌝🌚 #amazing #Eclipse2017",1,joy
"Catching up on Greys, almost couldn't make it through two episodes because of how sad the storyline was. Two best/worst eps for me.",3,sadness
"My mother-in-law, in a fit of #rage, referred to someone as a 'yo-yo'.\n#yoyo #motherinlaw #amirite #fitofrage",0,anger
@user There should need to take serious action over terrorism sir,0,anger
oh how i just love love love glee doing billy joel's numbers!!!!,1,joy
"@user Sir, people need revenge",0,anger
"I actually hate Vision. Coming over from @user is like moving from Man City to QPR. A league below, past it and clouded in chaos.",0,anger
@user apparently u left a calling card... @ which address cos it certainly wasn't the address u were supposed to be delivering 2!!! #awful,0,anger
I thought he cried over some of his relative death or something but when i know the truth . I just wanna burst out 😂,1,joy
Looking for good news today...not finding any on Twitter. Bummer. 😢 #depressing #badnews,3,sadness
U know what's very pathetic? The fact that I dearly miss my professors but they probably forgot about me already. #sad #:(,3,sadness
yas bret you're always making me laugh ily 😘 @user,1,joy
"Said it once and I'll probably say it again, anything more depressing than making your sandwiches for work the next day #cry",3,sadness
"Aw, bummer. @user (Maura Rankin) blocked me for calling her out as a #bully. Some people just #CantHandleTheTruth, can they?",0,anger
discouraged,3,sadness
"Happy 12th birthday to my Neopet! #retro\nHappy 75th birthday, Harrison Ford! #legendary\nHappy 80th birthday, Krispy Kreme! #delicious",1,joy
I'm shaking in my boots now. The Taffia are in full flow 😂😂,1,joy
@user This is ☀️this is clouded sky 🌥😂😂😂👍🏽😁👏🏽,1,joy
Soooo @user we need longer episodes 🙏🏽🙏🏽😫😫 #insecure,3,sadness
"@user Although I have a nice vulva, I choose not to intimidate other women with it.",2,optimism
"Elle: a delicious, dark, perverse work of intrigue, streaked with cruel humour. Superb performance from Isabelle Huppert. A one off #ElleDVD",1,joy
Sector71-78 area is all full of #Immigrant #bangladeshi they are a #threat to us\nthey #steal #Rape #Kill #bully \n#SaveHindusInHindustan,0,anger
@user Your majority is 635 members of the public- believe me you have offended rather more than 635 voters!,0,anger
"Thank you, @user for using the Afghanistan policy of #44... he was pretty smart! \n\nP.S. Do not look directly at the sun! #bad",2,optimism
"9. So to summarize... Aman, Norwood and Mitchell clearly lead the field in resources, though Mitchell's burn rate is alarming.",0,anger
@user Really??? I've had to hang up!,0,anger
"@user Hi Miguel, that's awesome! Thank you very much for updating us! 😄 -Claire",1,joy
Idk why tiff always have a 6:30 am alarm that rings everyday for,0,anger
@user @user Goal posts moved out of America &amp; inching closer to #Russia #horrific. #treason,0,anger
Should I be flattered that locals keep asking if Im Swedish? #Swedish #beautiful #Europe,1,joy
"Once you've been hurt, you're so scared to get attached again, you have a fear that every person is going to break your ❤️💯",3,sadness
Grumpy AF today #badsleep  #grumpy,0,anger
"If you're nervous about tomorrow's #Origin game, just remember, if it's a decider next year it will again be the 'biggest game of all time'",2,optimism
@user @user Ugh! Not those vile men again. 😱,0,anger
Add me on snapchat : dfdf_66\n#dick #pussy #nudes #horny #anal #ass #bigbooty #bobs #cock #blowjob #sex #sexy #snap \nAny horny girls ?🔥💦👅👅👅,1,joy
"@user I skip anything below 718 score tbh. Finding other fully SI horse teams is fun though, I added a few through arena. 🤣",1,joy
"Carlsbad #Rouladen is one #delicious, hearty, home-style dish! Stop by and let us know how you like it! #getdtl #ldnont #chaucers #marienbad",1,joy
ain't no sunshine when she's away ♫,3,sadness
@user I've finished reading it; simply mind-blogging. The writer said 'to be continued' but I haven't found part 2. #depressing,3,sadness
@user I have tried #PUR Mojito Lime mints They are #delicious 😘Happy #NationalMojitoDay to all #contest #win ✅💚,1,joy
Chiropractor time  #crackle #pop #chiropractor,1,joy
@user i'm very happy glad or whatever the feelings i'm not into dramas,1,joy
My boss said to another girl who is leaving 'i hope your new job is shit.' How pathetic. Hence why people are leaving in droves.,0,anger
blood rage,0,anger
Paul is such a fucking bully! Dam leave the poor guy alone. He went on #BB19 to play the game same as you SMDH pathetic #annoyed #worstvet,0,anger
Cyclist slams breaks to pace it to traffic lights. I slam car breaks&amp;tell him careful nearly ran him over=all the cussing #charming #bulwell,0,anger
"No one wants the chubby, scarred toy. #hurting",3,sadness
Depression sucks #getHelp,3,sadness
I keep asking myself why I'm constantly drawing Teo w a frown but then I just remember what's going on and I immediately understand,2,optimism
@user There is nothing comical or funny about corrupt officers and negotiating the rand amount for a bribe 😡,0,anger
My neck still hurting though... 😥,3,sadness
"also, been kind of silent on s11 of the x-files because i am terrified that CC is going to screw it up! actually i know he will... #dreading",0,anger
@user Hahaaa! Was fuming with that 😞😂,0,anger
"He is holding her so close, wrapped his hands around her shoulder, she is holding them and they're both smiling. I'm still living. ☺️",1,joy
When you realize you start college in literally less than a month hahahaha what the FUCK I just wanna be a #carefree teen forever TF,0,anger
Going over the #script for this weekend! Can't wait to start #filmming! #actorslife #ActressLife #actress  #horrorfilm #HorrorMovies,1,joy
A little positivity for a dreary Tuesday.  From my little jar of positivity now available in my #Etsy store #selfhelp #HandmadeHour #anxiety,2,optimism
I hope you smiling and just laughing your soul out @user . I love you so much.. My Person\n                 😘😘😘😘\n                    😘😘😘😘,1,joy
fuckfuckfuck my hands are shaking,0,anger
@user Same as the bully in second grade. Classic.,0,anger
@user Is it just me that thinks it looks boring?,3,sadness
@user Think it lost its heart after the second version. Third was disappointing and haven't played the fourth yet,3,sadness
